ID my.ID
98214_B04 NHA35
98214_B05 NHA36
98216_E06 NHA37
98216_F06 NHA38
98216_H06 NHA39
98198_C07 NOT1
98198_E11 NOT2
98198_F05 NOT3
98198_F11 NOT4
98198_F12 NOT5
98198_G08 NOT6
98198_G11 NOT7
98198_H08 NOT8
98198_H11 NOT9
98199_C01 NOT10
98198_A06 NOT11
98198_A10 NOT12
98198_B04 NOT13
98198_B10 NOT14
98198_C04 NOT15
98211_C12 NOT16
98211_D12 NOT17
98198_E06 NOT18
98198_F06 NOT19
98198_G04 NOT20
98198_H04 NOT21
98211_E12 NOT22
98198_A08 NOT23
98198_B11 NOT24
98198_E07 NOT25
98198_E10 NOT26
98198_F10 NOT27
98198_H07 NOT28
98199_B01 NOT29
98211_G11 NOT30
98211_H11 NOT31
98198_C06 NOT32
98198_C08 NOT33
98198_D06 NOT34
98198_D08 NOT35
98198_G05 NOT36
98198_H05 NOT37
98211_A11 NOT38
98211_F11 NOT39
98198_A05 NOT40
98198_A07 NOT41
98198_B07 NOT42
98198_D05 NOT43
98198_E04 NOT44
98198_F04 NOT45
98198_G06 NOT46
98198_G09 NOT47
98198_H06 NOT48
98198_H09 NOT49
98198_H12 NOT50
98211_B12 NOT51
98198_B12 NOT52
98198_E08 NOT53
98198_F08 NOT54
98198_F09 NOT55
98198_A09 NOT56
98198_B09 NOT57
98198_C10 NOT58
98198_C11 NOT59
98198_C12 NOT60
98198_D10 NOT61
98198_D11 NOT62
98198_D12 NOT63
98198_G10 NOT64
98199_A03 DOR1
98199_B03 DOR2
98199_D03 DOR3
98199_A04 DOR4
98199_B04 DOR5
98199_G01 DOR6
98199_H01 DOR7
98199_H02 DOR8
98199_A05 DOR9
98199_B05 DOR10
98199_D05 DOR11
98199_E01 DOR12
98199_F01 DOR13
98199_G04 DOR14
98199_G05 DOR15
98199_H04 DOR16
98199_H05 DOR17
98199_C04 DOR18
98199_D04 DOR19
98199_A02 DOR20
98199_A06 DOR21
98199_B02 DOR22
98199_B06 DOR23
98199_E03 DOR24
98199_E04 DOR25
98199_F03 DOR26
98199_G03 DOR27
98199_H03 DOR28
98199_C02 DOR29
98199_D02 DOR30
98199_E05 DOR31
98199_F05 DOR32
98199_C03 DOR33
98199_C05 DOR34
98215_A02 DOR35
98215_A03 DOR36
98215_A05 DOR37
98215_A06 DOR38
98215_B07 DOR39
98215_B08 DOR40
98200_A07 SUS1
98200_A10 SUS2
98200_B07 SUS3
98200_B10 SUS4
98200_C04 SUS5
98200_C10 SUS6
98200_D04 SUS7
98200_D10 SUS8
98200_E06 SUS9
98200_F06 SUS10
98200_A08 SUS11
98200_B08 SUS12
98200_D08 SUS13
98200_G11 SUS14
98200_H11 SUS15
98200_A06 SUS16
98200_A11 SUS17
98200_B06 SUS18
98200_B11 SUS19
98200_D11 SUS20
98200_A04 SUS21
98200_B04 SUS22
98200_F08 SUS23
98200_C09 SUS24
98200_D09 SUS25
98200_H06 SUS26
98200_H08 SUS27
98216_G10 SUS28
98200_D06 SUS29
98200_G05 SUS30
98200_G12 SUS31
98200_H12 SUS32
98200_C12 SUS33
98200_D12 SUS34
98200_E12 SUS35
98200_F04 SUS36
98200_F11 SUS37
98200_F12 SUS38
98200_G10 SUS39
98200_C05 SUS40
98200_D05 SUS41
98200_E10 SUS42
98200_F07 SUS43
98200_F10 SUS44
98200_G09 SUS45
98200_H09 SUS46
98200_E08 SUS47
98214_C06 SUS48
98214_C09 SUS49
98214_C11 SUS50
98214_D01 SUS51
98214_D04 SUS52
98214_D05 SUS53
98214_D08 SUS54
98214_D09 SUS55
98214_E03 SUS56
98214_E05 SUS57
94249_A03 SUS58
94250_F09 SUS59
94250_G10 SUS60
98201_C02 NFK1
98201_D02 NFK2
98201_E01 NFK3
98201_F01 NFK4
98206_G12 NFK5
98212_C03 NFK6
98212_C06 NFK7
98212_C07 NFK8
98212_D07 NFK9
98212_E07 NFK10
98212_F07 NFK11
98201_G01 NFK12
98208_A02 NFK13
98208_B02 NFK14
98208_D02 NFK15
98208_E02 NFK16
98212_B10 NFK17
98212_C11 NFK18
98212_D10 NFK19
98212_D11 NFK20
98201_A04 NFK21
98201_B04 NFK22
98201_C04 NFK23
98201_D04 NFK24
98201_F03 NFK25
98207_B01 NFK26
98208_A03 NFK27
98208_E03 NFK28
98208_F03 NFK29
98212_C04 NFK30
98212_D04 NFK31
98212_E01 NFK32
98212_F01 NFK33
98201_A02 NFK34
98201_B02 NFK35
98201_E02 NFK36
98208_G03 NFK37
98208_H03 NFK38
98212_B05 NFK39
98206_F12 NFK40
98208_B01 NFK41
98212_B09 NFK42
98212_C02 NFK43
98212_E02 NFK44
98212_E03 NFK45
98212_E06 NFK46
98212_F02 NFK47
98212_F03 NFK48
98212_F06 NFK49
98201_E04 NFK50
98201_F04 NFK51
98201_H02 NFK52
98208_E01 NFK53
98208_F01 NFK54
98212_A11 NFK55
98212_C09 NFK56
98212_D09 NFK57
98212_E04 NFK58
98207_C01 NFK59
98207_D01 NFK60
98208_H01 NFK61
98212_B12 NFK62
98212_D12 NFK63
98201_C03 NFK64
98201_G03 NFK65
98201_H03 NFK66
98207_G12 NFK67
98207_H12 NFK68
98212_C05 NFK69
98212_D05 NFK70
98189_A11 NFK71
98189_B11 NFK72
98189_B12 NFK73
98189_C11 NFK74
98189_D12 NFK75
98189_E11 NFK76
98189_E12 NFK77
98189_F11 NFK78
98189_G12 NFK79
98189_H10 NFK80
98189_H12 NFK81
98208_G02 NFK82
98216_C02 NFK83
98216_D02 NFK84
98216_E02 NFK85
98216_F02 NFK86
98216_G02 NFK87
98216_H02 NFK88
94249_D07 NFK89
94250_A03 NFK90
94250_B04 NFK91
94250_B09 NFK92
94250_B12 NFK93
94250_C06 NFK94
94250_C07 NFK95
94250_C08 NFK96
94250_D07 NFK97
94250_E10 NFK98
94250_E11 NFK99
94250_G08 NFK100
94250_G12 NFK101
